NaN,0.36748,0.62031,-0.62372,0.4645,0.11029,0.041658,-0.42243,0.39887,-0.35499
NaN,NaN,0.33251,0.029389,0.70309,-0.31517,-0.35981,0.28766,-0.21752,0.034218
NaN,NaN,NaN,-0.44814,0.22736,0.12246,0.062553,-0.33935,0.37129,-0.2549
NaN,NaN,NaN,NaN,-0.2238,-0.055008,-0.048135,0.6735,-0.34275,0.53692
NaN,NaN,NaN,NaN,NaN,-0.38335,-0.55329,-0.0020555,-0.21141,-0.16757
NaN,NaN,NaN,NaN,NaN,NaN,0.68071,-0.31424,0.59969,0.034536
NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.2168,0.5634,-0.027537
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.50918,0.71103
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.35909
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
